oldid,city,country,latitude,longitude,name,store_id
9102,Sun City,US,33.637847900390625,-112.27669525146484,"99th Ave. & Bell, Sun City",12782
9179,Mesa,US,33.37740707397461,-111.63555145263672,"Ellsworth & Baseline, Mesa",12882
9208,Gilbert,US,33.265357971191406,-111.6876449584961,Albertsons-Gilbert AZ #929,12930
9237,Tempe,US,33.418235778808594,-111.93185424804688,Aramark ASU Business College,12981
9295,Tempe,US,33.40894317626953,-111.92510223388672,Safeway-Tempe #1487,13084
9360,Phoenix,US,33.43592834472656,-112.00885772705078,PHX-T3 North,13205
9423,Phoenix,US,33.466224670410156,-112.06565856933594,7th Street & McDowell,13327
9436,Phoenix,US,33.66670227050781,-112.12433624267578,Loop 101 & Beardsley,13344
9469,Tempe,US,33.36458206176758,-111.92973327636719,Albertsons-Tempe AZ #940,13399
9492,Tempe,US,33.44215774536133,-111.9555892944336,"Priest & Washington, Tempe",13429
9513,Chandler,US,33.29990005493164,-111.89900207519531,"Chandler & Price Road, Phoenix",13453
9517,Scottsdale,US,33.67567443847656,-111.88818359375,Safeway-Scottsdale #1663,13458
9779,Tempe,US,33.34956359863281,-111.96466064453125,"Elliot & Priest, Tempe",13795
9829,Scottsdale,US,33.70004653930664,-111.92317199707031,Safeway-Scottsdale #1253,13854
9830,Goodyear,US,33.451507568359375,-112.39405822753906,Safeway-Goodyear #2618,13855
9838,Glendale,US,33.65248489379883,-112.1856918334961,59th Avenue & Union Hills,13864
9839,Avondale,US,33.464935302734375,-112.27619934082031,McDowell & 99th Avenue,13865
9849,Phoenix,US,33.53921890258789,-112.06239318847656,Safeway-Phoenix #1515,13877
9878,Scottsdale,US,33.47991180419922,-111.92577362060547,"Scottsdale & Thomas, Scottsdale",13919
9879,Phoenix,US,33.304412841796875,-111.98359680175781,46th Street & Chandler,13920
9912,Mesa,US,33.377540588378906,-111.63796997070312,Safeway-Mesa #2676,13963
9959,Mesa,US,33.39265823364258,-111.8620376586914,"Southern & Longmore, Mesa",14034
9989,Scottsdale,US,33.69892501831055,-111.88884735107422,"Pima & Pinnacle Peak, Scottsdale",14068
9990,Phoenix,US,33.5234489440918,-112.04714965820312,"16th Street & Bethany Home, Phoenix",14069
10045,Peoria,US,33.56416320800781,-112.28844451904297,Safeway-Peoria #1662,14143
10046,Tempe,US,33.418251037597656,-111.93385314941406,Aramark ASU Memorial Union,14144
10191,Scottsdale,US,33.48566818237305,-111.90930938720703,"Hayden & Osborn, Scottsdale",14337
10210,Phoenix,US,33.34807205200195,-111.98188018798828,Safeway-Phoenix #752,14359
10285,Tempe,US,33.418216705322266,-111.93189239501953,Aramark ASU Bookstore,14444
10340,Scottsdale,US,33.58427047729492,-111.92444610595703,Safeway-Scottsdale #2032,14509
10391,Phoenix,US,33.51641082763672,-112.08281707763672,"7th Avenue & Missouri, Phoenix",14588
10443,Phoenix,US,33.524410247802734,-112.13104248046875,"35th Ave & Bethany Home, Phoenix",14649
10455,Mesa,US,33.32305145263672,-111.6895751953125,Super Target Gilbert ST-1959,14665
10461,Chandler,US,33.2852783203125,-111.84099578857422,"Arizona Ave & Loop 202, Chandler",14671
10479,Scottsdale,US,33.50297927856445,-111.92911529541016,Scottsdale Fashion Square,14698
10480,Tempe,US,33.37908172607422,-111.9295654296875,Rural & Baseline - Tempe,14699
10492,Queen Creek,US,33.264854431152344,-111.6837387084961,Safeway-Queen Creek #1819,14713
